7
loading data
mean of input data
[27.73478675  2.49622512  0.6725357 ]
min of input data
[-359.89138085    0.         -358.15238973]
max of input data
[357.88102783  12.39961693 357.95459151]
done loading data
WARNING:tensorflow:From /tmp/op_blocks/fc_layer.py:9: __init__ (from tensorflow.python.ops.init_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.initializers.variance_scaling instead with distribution=uniform to get equivalent behavior.
2019-01-03 23:17:41.226499: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-01-03 23:17:41.308921: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-01-03 23:17:41.309535: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: Quadro M5000 major: 5 minor: 2 memoryClockRate(GHz): 1.038
pciBusID: 0000:01:00.0
totalMemory: 7.94GiB freeMemory: 7.39GiB
2019-01-03 23:17:41.309554: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2019-01-03 23:17:41.518445: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-01-03 23:17:41.518485: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2019-01-03 23:17:41.518492: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2019-01-03 23:17:41.518867: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 7127 MB memory) -> physical GPU (device: 0, name: Quadro M5000, pci bus id: 0000:01:00.0, compute capability: 5.2)
It: 0 Loss: 1490.97900391, LR: 0.0001
It: 7300 Loss: 216.899108887, LR: 6.94196650878e-05
It: 7400 Loss: 306.67199707, LR: 6.90734330637e-05
It: 7500 Loss: 52.6895751953, LR: 6.87289278791e-05
It: 7600 Loss: 134.385910034, LR: 6.83861409212e-05
It: 7700 Loss: 17.9546909332, LR: 6.80450636205e-05
It: 7800 Loss: 100.474487305, LR: 6.77056874498e-05
It: 7900 Loss: 236.736328125, LR: 6.73680039249e-05
It: 8000 Loss: 544.755615234, LR: 6.70320046036e-05
It: 8100 Loss: 123.384765625, LR: 6.66976810858e-05
It: 8200 Loss: 21.0076828003, LR: 6.63650250136e-05
It: 8300 Loss: 883.800292969, LR: 6.60340280705e-05
It: 8400 Loss: 951.519104004, LR: 6.57046819815e-05
It: 8500 Loss: 243.389862061, LR: 6.5376978513e-05
It: 8600 Loss: 30.393819809, LR: 6.50509094723e-05
It: 8700 Loss: 390.316680908, LR: 6.47264667078e-05
It: 8800 Loss: 61.6514511108, LR: 6.44036421083e-05
It: 8900 Loss: 683.307189941, LR: 6.40824276032e-05
It: 9000 Loss: 514.922607422, LR: 6.37628151622e-05
It: 9100 Loss: 18.5297470093, LR: 6.34447967948e-05
It: 9200 Loss: 135.496734619, LR: 6.31283645507e-05
It: 9300 Loss: 810.393371582, LR: 6.2813510519e-05
It: 9400 Loss: 293.820251465, LR: 6.25002268283e-05
It: 9500 Loss: 28.9100074768, LR: 6.21885056465e-05
It: 9600 Loss: 40.3321990967, LR: 6.18783391806e-05
It: 9700 Loss: 12.0820169449, LR: 6.15697196764e-05
It: 9800 Loss: 136.939193726, LR: 6.12626394184e-05
It: 9900 Loss: 170.66569519, LR: 6.09570907296e-05
It: 10000 Loss: 31.55418396, LR: 6.06530659713e-05
It: 10100 Loss: 12.7201251984, LR: 6.03505575427e-05
It: 10200 Loss: 12.3889341354, LR: 6.00495578812e-05
It: 10300 Loss: 12.5737743378, LR: 5.97500594618e-05
It: 10400 Loss: 13.9885549545, LR: 5.9452054797e-05
It: 10500 Loss: 277.738555908, LR: 5.91555364367e-05
It: 10600 Loss: 10.8697967529, LR: 5.88604969678e-05
It: 10700 Loss: 13.199473381, LR: 5.85669290145e-05
It: 10800 Loss: 25.267250061, LR: 5.82748252374e-05
It: 10900 Loss: 654.731811523, LR: 5.7984178334e-05
It: 11000 Loss: 275.215667725, LR: 5.7694981038e-05
It: 11100 Loss: 147.54397583, LR: 5.74072261196e-05
It: 11200 Loss: 63.9570236206, LR: 5.71209063849e-05
It: 11300 Loss: 290.05456543, LR: 5.68360146758e-05
It: 11400 Loss: 33.7331352234, LR: 5.655254387e-05
It: 11500 Loss: 237.075775146, LR: 5.62704868807e-05
It: 11600 Loss: 92.16771698, LR: 5.59898366565e-05
It: 11700 Loss: 609.733459473, LR: 5.57105861812e-05
It: 11800 Loss: 722.815429688, LR: 5.54327284735e-05
It: 11900 Loss: 560.147033691, LR: 5.51562565868e-05
It: 12000 Loss: 181.046737671, LR: 5.48811636094e-05
It: 12100 Loss: 406.321472168, LR: 5.4607442664e-05
It: 12200 Loss: 408.150970459, LR: 5.43350869074e-05
It: 12300 Loss: 58.3769073486, LR: 5.40640895309e-05
It: 12400 Loss: 257.800354004, LR: 5.37944437595e-05
It: 12500 Loss: 9.68307685852, LR: 5.35261428519e-05
It: 12600 Loss: 142.735458374, LR: 5.32591801007e-05
It: 12700 Loss: 90.4780426025, LR: 5.29935488318e-05
It: 12800 Loss: 137.832061768, LR: 5.27292424043e-05
It: 12900 Loss: 165.820999146, LR: 5.24662542107e-05
It: 13000 Loss: 208.262435913, LR: 5.22045776761e-05
It: 13100 Loss: 80.0430145264, LR: 5.19442062587e-05
It: 13200 Loss: 60.9193572998, LR: 5.16851334492e-05
It: 13300 Loss: 16.0996589661, LR: 5.14273527707e-05
It: 13400 Loss: 10.8735809326, LR: 5.11708577787e-05
It: 13500 Loss: 235.058197021, LR: 5.09156420608e-05
It: 13600 Loss: 288.426269531, LR: 5.06616992366e-05
It: 13700 Loss: 257.333770752, LR: 5.04090229575e-05
It: 13800 Loss: 237.727706909, LR: 5.01576069066e-05
It: 13900 Loss: 421.873352051, LR: 4.99074447985e-05
It: 14000 Loss: 6.92005205154, LR: 4.96585303791e-05
It: 14100 Loss: 20.4076156616, LR: 4.94108574256e-05
It: 14200 Loss: 69.4339370728, LR: 4.91644197461e-05
It: 14300 Loss: 705.109924316, LR: 4.89192111796e-05
It: 14400 Loss: 7.03844118118, LR: 4.8675225596e-05
It: 14500 Loss: 133.984054565, LR: 4.84324568955e-05
It: 14600 Loss: 6.5480222702, LR: 4.8190899009e-05
It: 14700 Loss: 16.0306358337, LR: 4.79505458975e-05
It: 14800 Loss: 81.8524475098, LR: 4.77113915521e-05
It: 14900 Loss: 74.7846832275, LR: 4.7473429994e-05
It: 15000 Loss: 538.19720459, LR: 4.72366552741e-05
It: 15100 Loss: 44.6920776367, LR: 4.70010614731e-05
It: 15200 Loss: 23.2737770081, LR: 4.6766642701e-05
It: 15300 Loss: 151.636749268, LR: 4.65333930974e-05
It: 15400 Loss: 359.123779297, LR: 4.63013068311e-05
It: 15500 Loss: 665.906860352, LR: 4.60703780999e-05
It: 15600 Loss: 289.433258057, LR: 4.58406011305e-05
It: 15700 Loss: 60.2205352783, LR: 4.56119701786e-05
It: 15800 Loss: 107.054290771, LR: 4.53844795282e-05
It: 15900 Loss: 256.329986572, LR: 4.51581234923e-05
It: 16000 Loss: 613.487243652, LR: 4.49328964117e-05
It: 16100 Loss: 397.035644531, LR: 4.47087926559e-05
It: 16200 Loss: 202.929702759, LR: 4.44858066223e-05
It: 16300 Loss: 168.18699646, LR: 4.42639327361e-05
It: 16400 Loss: 166.635314941, LR: 4.40431654506e-05
It: 16500 Loss: 24.1651000977, LR: 4.38234992465e-05
It: 16600 Loss: 9.14684867859, LR: 4.36049286322e-05
It: 16700 Loss: 847.969665527, LR: 4.33874481433e-05
It: 16800 Loss: 737.264770508, LR: 4.31710523429e-05
It: 16900 Loss: 12.7329158783, LR: 4.29557358211e-05
It: 17000 Loss: 732.0390625, LR: 4.27414931949e-05
It: 17100 Loss: 22.4086380005, LR: 4.25283191082e-05
It: 17200 Loss: 78.4762496948, LR: 4.23162082318e-05
It: 17300 Loss: 338.392669678, LR: 4.21051552627e-05
It: 17400 Loss: 20.0771255493, LR: 4.18951549248e-05
It: 17500 Loss: 8.31631469727, LR: 4.16862019679e-05
It: 17600 Loss: 18.6754741669, LR: 4.14782911682e-05
It: 17700 Loss: 129.96421814, LR: 4.12714173279e-05
It: 17800 Loss: 726.913818359, LR: 4.10655752752e-05
It: 17900 Loss: 6.18145990372, LR: 4.08607598641e-05
It: 18000 Loss: 706.51574707, LR: 4.06569659741e-05
It: 18100 Loss: 118.515853882, LR: 4.04541885103e-05
It: 18200 Loss: 9.80990409851, LR: 4.02524224034e-05
It: 18300 Loss: 189.099563599, LR: 4.00516626091e-05
It: 18400 Loss: 174.50227356, LR: 3.98519041085e-05
It: 18500 Loss: 424.164855957, LR: 3.96531419075e-05
It: 18600 Loss: 670.263122559, LR: 3.94553710372e-05
It: 18700 Loss: 170.893600464, LR: 3.92585865532e-05
It: 18800 Loss: 373.73526001, LR: 3.90627835359e-05
It: 18900 Loss: 6.05387353897, LR: 3.88679570902e-05
It: 19000 Loss: 75.3657226562, LR: 3.86741023455e-05
It: 19100 Loss: 18.3517570496, LR: 3.84812144553e-05
It: 19200 Loss: 13.0698804855, LR: 3.82892885975e-05
It: 19300 Loss: 617.826904297, LR: 3.80983199739e-05
It: 19400 Loss: 182.292800903, LR: 3.79083038103e-05
It: 19500 Loss: 326.833587646, LR: 3.77192353563e-05
It: 19600 Loss: 25.3504714966, LR: 3.75311098851e-05
It: 19700 Loss: 29.4544448853, LR: 3.73439226937e-05
It: 19800 Loss: 406.430908203, LR: 3.71576691022e-05
It: 19900 Loss: 99.5268325806, LR: 3.69723444544e-05
It: 20000 Loss: 6.5067358017, LR: 3.67879441171e-05
It: 20100 Loss: 4.34566497803, LR: 3.66044634804e-05
It: 20200 Loss: 1227.47741699, LR: 3.64218979572e-05
It: 20300 Loss: 1300.21643066, LR: 3.62402429832e-05
It: 20400 Loss: 12.9632081985, LR: 3.60594940173e-05
It: 20500 Loss: 589.723205566, LR: 3.58796465406e-05
It: 20600 Loss: 477.641479492, LR: 3.57006960569e-05
It: 20700 Loss: 590.694396973, LR: 3.55226380925e-05
It: 20800 Loss: 68.12449646, LR: 3.53454681959e-05
It: 20900 Loss: 86.0077667236, LR: 3.51691819378e-05
It: 21000 Loss: 20.6296310425, LR: 3.49937749111e-05
It: 21100 Loss: 489.422943115, LR: 3.48192427306e-05
It: 21200 Loss: 194.378433228, LR: 3.4645581033e-05
It: 21300 Loss: 131.138839722, LR: 3.44727854767e-05
It: 21400 Loss: 18.1875953674, LR: 3.43008517419e-05
It: 21500 Loss: 527.968383789, LR: 3.41297755301e-05
It: 21600 Loss: 192.588638306, LR: 3.39595525645e-05
It: 21700 Loss: 94.217048645, LR: 3.37901785895e-05
It: 21800 Loss: 417.159210205, LR: 3.36216493707e-05
It: 21900 Loss: 164.922180176, LR: 3.34539606949e-05
It: 22000 Loss: 4.98855638504, LR: 3.32871083698e-05
It: 22100 Loss: 4.876537323, LR: 3.31210882242e-05
It: 22200 Loss: 6.20118570328, LR: 3.29558961075e-05
It: 22300 Loss: 12.4109354019, LR: 3.279152789e-05
It: 22400 Loss: 120.878379822, LR: 3.26279794623e-05
It: 22500 Loss: 38.5509872437, LR: 3.24652467358e-05
It: 22600 Loss: 4.85810375214, LR: 3.23033256422e-05
It: 22700 Loss: 127.369941711, LR: 3.21422121334e-05
It: 22800 Loss: 429.870635986, LR: 3.19819021816e-05
It: 22900 Loss: 4.44194602966, LR: 3.1822391779e-05
It: 23000 Loss: 526.00390625, LR: 3.16636769379e-05
It: 23100 Loss: 196.915924072, LR: 3.15057536903e-05
It: 23200 Loss: 14.518819809, LR: 3.13486180883e-05
It: 23300 Loss: 24.4040107727, LR: 3.11922662033e-05
It: 23400 Loss: 233.243362427, LR: 3.10366941265e-05
It: 23500 Loss: 5.30375528336, LR: 3.08818979688e-05
It: 23600 Loss: 720.472961426, LR: 3.07278738601e-05
It: 23700 Loss: 45.6117477417, LR: 3.05746179499e-05
It: 23800 Loss: 122.006919861, LR: 3.04221264067e-05
It: 23900 Loss: 80.9318313599, LR: 3.02703954182e-05
It: 24000 Loss: 156.489868164, LR: 3.01194211912e-05
It: 24100 Loss: 105.915481567, LR: 2.99691999513e-05
It: 24200 Loss: 14.845117569, LR: 2.9819727943e-05
It: 24300 Loss: 923.895874023, LR: 2.96710014294e-05
It: 24400 Loss: 142.065673828, LR: 2.95230166924e-05
It: 24500 Loss: 13.8012037277, LR: 2.93757700324e-05
It: 24600 Loss: 958.991882324, LR: 2.92292577681e-05
It: 24700 Loss: 11.8874387741, LR: 2.90834762368e-05
It: 24800 Loss: 300.908996582, LR: 2.89384217939e-05
It: 24900 Loss: 41.2489891052, LR: 2.87940908131e-05
It: 25000 Loss: 66.8024291992, LR: 2.8650479686e-05
It: 25100 Loss: 222.630706787, LR: 2.85075848224e-05
It: 25200 Loss: 808.067749023, LR: 2.836540265e-05
It: 25300 Loss: 44.8676261902, LR: 2.82239296141e-05
It: 25400 Loss: 306.825653076, LR: 2.80831621778e-05
It: 25500 Loss: 185.355056763, LR: 2.79430968221e-05
It: 25600 Loss: 23.7984790802, LR: 2.78037300453e-05
It: 25700 Loss: 182.456207275, LR: 2.76650583632e-05
It: 25800 Loss: 33.6689910889, LR: 2.7527078309e-05
It: 25900 Loss: 4.91717529297, LR: 2.73897864331e-05
It: 26000 Loss: 73.5682601929, LR: 2.72531793034e-05
It: 26100 Loss: 212.570236206, LR: 2.71172535046e-05
It: 26200 Loss: 590.998291016, LR: 2.69820056385e-05
It: 26300 Loss: 5.80761289597, LR: 2.68474323239e-05
It: 26400 Loss: 805.504699707, LR: 2.67135301966e-05
It: 26500 Loss: 4.1162815094, LR: 2.65802959089e-05
It: 26600 Loss: 663.661376953, LR: 2.644772613e-05
It: 26700 Loss: 4.30100774765, LR: 2.63158175456e-05
It: 26800 Loss: 712.968933105, LR: 2.6184566858e-05
It: 26900 Loss: 81.0468673706, LR: 2.6053970786e-05
It: 27000 Loss: 361.370330811, LR: 2.59240260646e-05
It: 27100 Loss: 1215.81970215, LR: 2.57947294452e-05
It: 27200 Loss: 893.266113281, LR: 2.56660776954e-05
It: 27300 Loss: 352.010467529, LR: 2.55380675988e-05
It: 27400 Loss: 10.1915922165, LR: 2.54106959553e-05
It: 27500 Loss: 5.79174423218, LR: 2.52839595805e-05
It: 27600 Loss: 31.2238731384, LR: 2.5157855306e-05
It: 27700 Loss: 13.6281509399, LR: 2.50323799792e-05
It: 27800 Loss: 66.5826644897, LR: 2.49075304632e-05
It: 27900 Loss: 180.341247559, LR: 2.47833036367e-05
It: 28000 Loss: 143.287033081, LR: 2.46596963942e-05
It: 28100 Loss: 16.7554550171, LR: 2.45367056453e-05
It: 28200 Loss: 212.137573242, LR: 2.44143283153e-05
It: 28300 Loss: 884.286254883, LR: 2.42925613449e-05
It: 28400 Loss: 58.7534179688, LR: 2.41714016897e-05
It: 28500 Loss: 439.373382568, LR: 2.40508463208e-05
It: 28600 Loss: 203.191085815, LR: 2.39308922244e-05
It: 28700 Loss: 156.051544189, LR: 2.38115364015e-05
It: 28800 Loss: 5.14056634903, LR: 2.36927758682e-05
It: 28900 Loss: 109.917419434, LR: 2.35746076556e-05
It: 29000 Loss: 56.3573074341, LR: 2.34570288094e-05
It: 29100 Loss: 22.7458229065, LR: 2.33400363901e-05
It: 29200 Loss: 757.594177246, LR: 2.3223627473e-05
It: 29300 Loss: 424.267089844, LR: 2.31077991477e-05
It: 29400 Loss: 789.614379883, LR: 2.29925485187e-05
It: 29500 Loss: 5.81359386444, LR: 2.28778727045e-05
It: 29600 Loss: 345.620483398, LR: 2.27637688384e-05
It: 29700 Loss: 612.493286133, LR: 2.26502340676e-05
It: 29800 Loss: 119.088691711, LR: 2.25372655539e-05
It: 29900 Loss: 618.508850098, LR: 2.24248604731e-05
It: 30000 Loss: 5.36846733093, LR: 2.23130160148e-05
It: 30100 Loss: 89.9558105469, LR: 2.22017293832e-05
It: 30200 Loss: 79.3298416138, LR: 2.20909977959e-05
It: 30300 Loss: 4.03093528748, LR: 2.19808184848e-05
It: 30400 Loss: 431.799591064, LR: 2.18711886952e-05
It: 30500 Loss: 536.855102539, LR: 2.17621056865e-05
It: 30600 Loss: 4.19191980362, LR: 2.16535667316e-05
It: 30700 Loss: 153.013534546, LR: 2.1545569117e-05
It: 30800 Loss: 296.420227051, LR: 2.14381101427e-05
It: 30900 Loss: 164.212860107, LR: 2.13311871223e-05
It: 31000 Loss: 1225.16748047, LR: 2.12247973827e-05
It: 31100 Loss: 109.512702942, LR: 2.11189382641e-05
It: 31200 Loss: 184.287124634, LR: 2.10136071201e-05
It: 31300 Loss: 641.698120117, LR: 2.09088013173e-05
It: 31400 Loss: 37.6450576782, LR: 2.08045182357e-05
It: 31500 Loss: 12.6203022003, LR: 2.07007552681e-05
It: 31600 Loss: 115.463691711, LR: 2.05975098205e-05
It: 31700 Loss: 309.236053467, LR: 2.04947793117e-05
It: 31800 Loss: 4.0198841095, LR: 2.03925611734e-05
It: 31900 Loss: 231.966598511, LR: 2.02908528503e-05
It: 32000 Loss: 108.253967285, LR: 2.01896517995e-05
It: 32100 Loss: 4.7329659462, LR: 2.0088955491e-05
It: 32200 Loss: 61.3602867126, LR: 1.99887614075e-05
It: 32300 Loss: 4.41339206696, LR: 1.98890670441e-05
It: 32400 Loss: 245.922714233, LR: 1.97898699084e-05
It: 32500 Loss: 15.8697013855, LR: 1.96911675204e-05
It: 32600 Loss: 26.4454116821, LR: 1.95929574127e-05
It: 32700 Loss: 402.614227295, LR: 1.94952371299e-05
It: 32800 Loss: 3.29107165337, LR: 1.93980042291e-05
It: 32900 Loss: 481.345428467, LR: 1.93012562794e-05
It: 33000 Loss: 540.009033203, LR: 1.92049908621e-05
It: 33100 Loss: 3.34155035019, LR: 1.91092055705e-05
It: 33200 Loss: 250.067642212, LR: 1.90138980102e-05
It: 33300 Loss: 941.077026367, LR: 1.89190657982e-05
It: 33400 Loss: 3.73526787758, LR: 1.88247065639e-05
It: 33500 Loss: 890.931274414, LR: 1.87308179482e-05
It: 33600 Loss: 487.570251465, LR: 1.86373976039e-05
It: 33700 Loss: 53.0496292114, LR: 1.85444431956e-05
It: 33800 Loss: 6.33017969131, LR: 1.84519523993e-05
It: 33900 Loss: 8.80785083771, LR: 1.83599229028e-05
It: 34000 Loss: 103.523101807, LR: 1.82683524053e-05
It: 34100 Loss: 487.062561035, LR: 1.81772386175e-05
It: 34200 Loss: 4.00291824341, LR: 1.80865792617e-05
It: 34300 Loss: 185.904724121, LR: 1.79963720713e-05
It: 34400 Loss: 7.78508472443, LR: 1.79066147911e-05
It: 34500 Loss: 14.1902265549, LR: 1.78173051773e-05
It: 34600 Loss: 130.942352295, LR: 1.7728440997e-05
It: 34700 Loss: 737.664428711, LR: 1.76400200286e-05
It: 34800 Loss: 329.278533936, LR: 1.75520400617e-05
It: 34900 Loss: 4.47337627411, LR: 1.74644988967e-05
It: 35000 Loss: 376.205505371, LR: 1.7377394345e-05
It: 35100 Loss: 339.792327881, LR: 1.72907242292e-05
It: 35200 Loss: 4.90665817261, LR: 1.72044863823e-05
It: 35300 Loss: 60.5077323914, LR: 1.71186786485e-05
